,DefectId,Severity,Project,rootCauseCategoryNG,Phase,Component,openDate,closedDate,plannedDurationInWeeks,developmentTeamSizeForRelease,testingTeamSizeForRelease,numberOfTestCaseExecuted,applicationCategory,Complexity,projectCMMILevel,applicationVersion
41,110,D-Low,A,Not Available,Dev Testing (DT),NGBA Phase 1 Drop A,8/13/2015,9/24/2015,100,200,100,1000,Existing,4,Level4,1
42,111,D-Low,A,Not Available,Dev Testing (DT),NGBA Phase 1 Drop A,8/13/2015,9/24/2015,100,200,100,1000,Existing,4,Level4,1
43,112,D-Low,A,Component Code,Dev Testing (DT),NGBA Phase 1 Drop A,8/13/2015,8/24/2015,100,200,100,1000,Existing,4,Level4,1
44,113,C-Medium,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/13/2015,9/16/2015,100,200,100,1000,Existing,4,Level4,1
45,114,D-Low,A,Component Code,Dev Testing (DT),NGBA Phase 1 Drop A,8/13/2015,9/4/2015,100,200,100,1000,Existing,4,Level4,1
46,115,C-Medium,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/13/2015,8/24/2015,100,200,100,1000,Existing,4,Level4,1
47,116,B-High,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/13/2015,8/19/2015,100,200,100,1000,Existing,4,Level4,1
48,117,C-Medium,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,8/13/2015,8/18/2015,100,200,100,1000,Existing,4,Level4,1
49,118,C-Medium,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,8/13/2015,8/19/2015,100,200,100,1000,Existing,4,Level4,1
50,119,C-Medium,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,8/13/2015,8/19/2015,100,200,100,1000,Existing,4,Level4,1
51,120,D-Low,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,8/14/2015,8/14/2015,100,200,100,1000,Existing,4,Level4,1
52,121,B-High,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,8/14/2015,8/14/2015,100,200,100,1000,Existing,4,Level4,1
53,122,D-Low,A,Detailed Design,System Test (ST),NGBA Phase 1 Drop A,8/14/2015,9/9/2015,100,200,100,1000,Existing,4,Level4,1
54,123,B-High,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/14/2015,9/16/2015,100,200,100,1000,Existing,4,Level4,1
55,124,C-Medium,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,8/14/2015,8/18/2015,100,200,100,1000,Existing,4,Level4,1
56,125,C-Medium,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,8/14/2015,8/19/2015,100,200,100,1000,Existing,4,Level4,1
57,126,C-Medium,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/14/2015,8/24/2015,100,200,100,1000,Existing,4,Level4,1
58,127,B-High,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,8/14/2015,9/24/2015,100,200,100,1000,Existing,4,Level4,1
59,128,D-Low,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/14/2015,9/11/2015,100,200,100,1000,Existing,4,Level4,1
60,129,D-Low,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,8/14/2015,8/26/2015,100,200,100,1000,Existing,4,Level4,1
61,130,B-High,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/14/2015,8/24/2015,100,200,100,1000,Existing,4,Level4,1
62,131,D-Low,A,Reference Data,System Test (ST),NGBA Phase 1 Drop A,8/14/2015,8/24/2015,100,200,100,1000,Existing,4,Level4,1
63,132,D-Low,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/14/2015,8/20/2015,100,200,100,1000,Existing,4,Level4,1
64,133,D-Low,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/14/2015,8/24/2015,100,200,100,1000,Existing,4,Level4,1
65,134,B-High,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/14/2015,9/3/2015,100,200,100,1000,Existing,4,Level4,1
66,135,C-Medium,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/14/2015,9/16/2015,100,200,100,1000,Existing,4,Level4,1
67,136,C-Medium,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/14/2015,8/24/2015,100,200,100,1000,Existing,4,Level4,1
68,137,C-Medium,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,8/17/2015,8/17/2015,100,200,100,1000,Existing,4,Level4,1
69,138,C-Medium,A,Application Data,System Test (ST),NGBA Phase 1 Drop A,8/17/2015,9/3/2015,100,200,100,1000,Existing,4,Level4,1
70,139,C-Medium,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,8/17/2015,8/19/2015,100,200,100,1000,Existing,4,Level4,1
71,140,C-Medium,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,8/17/2015,8/26/2015,100,200,100,1000,Existing,4,Level4,1
72,141,D-Low,A,Reference Data,System Test (ST),NGBA Phase 1 Drop A,8/17/2015,8/24/2015,100,200,100,1000,Existing,4,Level4,1
73,142,D-Low,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,8/17/2015,8/19/2015,100,200,100,1000,Existing,4,Level4,1
74,143,D-Low,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/17/2015,8/19/2015,100,200,100,1000,Existing,4,Level4,1
75,144,D-Low,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/17/2015,8/19/2015,100,200,100,1000,Existing,4,Level4,1
76,145,C-Medium,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/17/2015,9/21/2015,100,200,100,1000,Existing,4,Level4,1
77,146,D-Low,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,8/17/2015,8/19/2015,100,200,100,1000,Existing,4,Level4,1
78,147,D-Low,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/17/2015,9/4/2015,100,200,100,1000,Existing,4,Level4,1
79,148,D-Low,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/18/2015,9/3/2015,100,200,100,1000,Existing,4,Level4,1
80,149,D-Low,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/18/2015,8/24/2015,100,200,100,1000,Existing,4,Level4,1
81,150,D-Low,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/18/2015,9/4/2015,100,200,100,1000,Existing,4,Level4,1
82,151,C-Medium,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,8/18/2015,8/19/2015,100,200,100,1000,Existing,4,Level4,1
83,152,A-Critical,A,Device,System Test (ST),NGBA Phase 1 Drop A,8/18/2015,8/18/2015,100,200,100,1000,Existing,4,Level4,1
84,153,D-Low,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,8/18/2015,8/18/2015,100,200,100,1000,Existing,4,Level4,1
85,154,C-Medium,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/19/2015,9/3/2015,100,200,100,1000,Existing,4,Level4,1
86,155,D-Low,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/19/2015,8/24/2015,100,200,100,1000,Existing,4,Level4,1
87,156,B-High,A,Device,System Test (ST),NGBA Phase 1 Drop A,8/19/2015,10/30/2015,100,200,100,1000,Existing,4,Level4,1
88,157,C-Medium,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/19/2015,8/24/2015,100,200,100,1000,Existing,4,Level4,1
89,158,D-Low,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,8/19/2015,8/20/2015,100,200,100,1000,Existing,4,Level4,1
90,159,D-Low,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,8/19/2015,9/4/2015,100,200,100,1000,Existing,4,Level4,1
91,160,C-Medium,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/19/2015,8/24/2015,100,200,100,1000,Existing,4,Level4,1
92,161,D-Low,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,8/19/2015,8/20/2015,100,200,100,1000,Existing,4,Level4,1
93,162,D-Low,A,High Level Design,Dev Testing (DT),NGBA Phase 1 Drop A,8/20/2015,10/23/2015,100,200,100,1000,Existing,4,Level4,1
94,163,B-High,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/20/2015,9/4/2015,100,200,100,1000,Existing,4,Level4,1
95,164,B-High,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/21/2015,8/24/2015,100,200,100,1000,Existing,4,Level4,1
96,165,D-Low,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/24/2015,9/16/2015,100,200,100,1000,Existing,4,Level4,1
97,166,B-High,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/24/2015,9/16/2015,100,200,100,1000,Existing,4,Level4,1
98,167,D-Low,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/26/2015,9/3/2015,100,200,100,1000,Existing,4,Level4,1
99,168,C-Medium,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/26/2015,9/4/2015,100,200,100,1000,Existing,4,Level4,1
100,169,D-Low,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/26/2015,9/4/2015,100,200,100,1000,Existing,4,Level4,1
101,170,D-Low,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/26/2015,9/4/2015,100,200,100,1000,Existing,4,Level4,1
102,171,D-Low,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/26/2015,9/4/2015,100,200,100,1000,Existing,4,Level4,1
103,172,D-Low,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,8/26/2015,9/9/2015,100,200,100,1000,Existing,4,Level4,1
104,173,D-Low,A,Not Available,System Test (ST),NGBA Phase 1 Drop A,8/27/2015,9/2/2015,100,200,100,1000,Existing,4,Level4,1
105,174,D-Low,A,Component Code,System Test (ST),NGBA Phase 1 Drop A,8/27/2015,9/4/2015,100,200,100,1000,Existing,4,Level4,1
106,175,C-Medium,A,Detailed Design,Dev Testing (DT),NGBA Phase 1 Drop A,8/27/2015,10/14/2015,100,200,100,1000,Existing,4,Level4,1
107,176,D-Low,A,Not Available,Dev Testing (DT),NGBA Phase 1 Drop A,8/27/2015,9/24/2015,100,200,100,1000,Existing,4,Level4,1
